id,unit_id,type,role,related_main_id,prompt,options,correct_index,image,audio,explanation
1052,1,true_false,exercise,1048,Knowledge-of-Canada details appear on page 64.,,true,,,Information about how the knowledge-of-Canada requirement is determined appears on page 64 of the guide.
1053,1,true_false,preview,1054,Passing the test gets you a notice.,,true,,,
1054,1,multiple_choice,main,,What do you get after passing?,Notice-to-Appear|Cash reward|New passport|Free flight,0,,,"If you pass the test and meet all other requirements, you receive a Notice to Appear to Take the Oath of Citizenship."
1055,1,true_false,exercise,1054,The notice lists your ceremony date and place.,,true,,,
1056,1,select_blank,exercise,1054,The notice invites you to take the ___.,Citizenship Oath|driving test|language exam|medical exam,0,,,
1057,1,true_false,exercise,1054,The notice also states the ceremony time.,,true,,,
1058,1,multiple_choice,exercise,1054,What does the Notice to Appear announce?,Ceremony details|Tax bill|Job offer|School enrollment,0,,,
1059,1,true_false,preview,1060,"At the ceremony, you take the oath.",,true,p06-oath-woman.jpeg,,
1060,1,order,main,,Order the steps at your ceremony.,Take the Oath|Sign the oath form|Receive your Certificate,,p06-judge-mountie.jpeg,,"At the ceremony you take the Oath of Citizenship, sign the oath form, and receive your Canadian Citizenship Certificate."
1061,1,true_false,exercise,1060,You sign the oath form at the ceremony.,,true,p06-oath-group.jpeg,,
1062,1,true_false,exercise,1060,You receive a Citizenship Certificate at the ceremony.,,true,,,
1063,1,multiple_choice,exercise,1060,What do you sign at the ceremony?,Oath form|Rental lease|Loan form|Job contract,0,,,
1064,1,true_false,exercise,1060,You skip signing anything at the ceremony.,,false,,,
1065,1,multiple_choice,exercise,1060,What do you receive at the ceremony?,Citizenship Certificate|Passport photo|Driver's license|Health card,0,p06-oath-boy.jpeg,,
1066,1,true_false,preview,1067,Not passing still gets you a notification.,,true,,,
1067,1,multiple_choice,main,,What happens if you fail?,Next steps|Deportation|Nothing|Re-test,0,,,"If you do not pass the test, you receive a notification indicating the next steps."
1068,1,multiple_choice,exercise,1067,What happens if you don't pass?,Next-step notice|Instant deportation|Nothing happens|Automatic re-test,0,,,
1069,1,true_false,exercise,1067,Failing the test ends the process immediately.,,false,,,
1070,1,true_false,exercise,1067,You receive guidance on what to do next.,,true,,,
1071,1,true_false,preview,1072,Family and friends can join your ceremony.,,true,,,
1072,1,multiple_choice,main,,Who can you bring to your ceremony?,Family/friends|No one|Strangers only|Inspectors only,0,p06-family-ceremony.jpeg,,You are encouraged to bring your family and friends to celebrate your citizenship ceremony.
1073,1,true_false,exercise,1072,The ceremony is meant to be celebrated together.,,true,,,
1074,1,multiple_choice,exercise,1072,Who can you invite to the ceremony?,Family/friends|Only strangers|No one|Government inspectors,0,p06-boy-flags.jpeg,,
1075,1,true_false,exercise,1072,Friends are not allowed at the ceremony.,,false,,,
2001,2,true_false,preview,2002,Magna Carta was signed in England in 1215.,,true,,,
2002,2,multiple_choice,main,,"Magna Carta, signed in 1215, is also called the:",Great Charter|English Bill|Criminal Code,0,,,"Also known as the Great Charter of Freedoms, signed in England in 1215."
2003,2,true_false,exercise,2002,Magna Carta was signed in France.,,false,,,"It was signed in England, in 1215."
2004,2,select_blank,exercise,2002,Magna Carta dates back to ___.,1215|1867|1982,0,,,
2005,2,multiple_choice,exercise,2002,Magna Carta secures Canada's tradition of:,Ordered liberty|Free trade|Bilingualism,0,,,
2006,2,true_false,exercise,2002,Magna Carta is also called the Great Charter of Freedoms.,,true,,,
2007,2,multiple_choice,exercise,2002,Where was Magna Carta signed?,England|France|Canada,0,,,
2008,2,true_false,preview,2009,Habeas corpus lets you challenge unlawful detention.,,true,,,
2009,2,multiple_choice,main,,Habeas corpus is the right to:,Challenge detention|Election voting|Own property,0,,,It comes from English common law and lets someone challenge unlawful detention by the state.
2010,2,select_blank,exercise,2009,Habeas corpus comes from English ___ law.,common|criminal|civil,0,,,
2011,2,true_false,exercise,2009,Habeas corpus comes from the Civil Code of France.,,false,,,"It comes from English common law, not the Civil Code of France."
2012,2,multiple_choice,exercise,2009,Habeas corpus protects against:,Unlawful detention|Unfair taxes|Job loss,0,,,
2013,2,true_false,exercise,2009,Habeas corpus is one of the Charter's four freedoms.,,false,,,"It comes from English common law, separate from the Charter's four fundamental freedoms."
2014,2,true_false,preview,2015,The Charter of Rights and Freedoms became law in 1982.,,true,,,
2015,2,multiple_choice,main,,The Canadian Charter of Rights and Freedoms began in:,1982|1867|1215,0,p08-7.jpeg,,The Constitution of Canada was amended in 1982 to entrench the Charter.
2016,2,select_blank,exercise,2015,The Charter was added to the ___ of Canada.,Constitution|Criminal Code|Passport Act,0,,,
2017,2,true_false,exercise,2015,The Charter both summarizes freedoms and sets out rights.,,true,,,
2018,2,multiple_choice,exercise,2015,The Charter's home document is the:,Canada's Constitution|Immigration Act|Criminal Code,0,,,
2019,2,true_false,exercise,2015,Queen Elizabeth II proclaimed the amended Constitution in 1982.,,true,,,This historic 1982 signing entrenched the Charter of Rights and Freedoms.
2020,2,order,exercise,2015,Order these rights milestones from earliest to latest.,Magna Carta signed|Habeas corpus adopted|Charter of Rights entrenched,,,,
2021,2,select_blank,preview,2022,Charter's opening line: founded on the supremacy of ___.,God|Parliament|Money,0,,,
2022,2,multiple_choice,main,,Charter's opening phrase highlights supremacy of God and the:,Rule-of-law|Free market|Monarchy,0,,,"The Charter begins: ""Whereas Canada is founded upon principles that recognize the supremacy of God and the rule of law."""
2023,2,true_false,exercise,2022,The Charter's opening words mention the rule of law.,,true,,,
2024,2,true_false,exercise,2022,The opening phrase highlights religious traditions' importance to Canada.,,true,,,
2025,2,multiple_choice,exercise,2022,The Charter's opening phrase underlines the dignity of:,Human person|The Parliament|The provinces,0,,,
2026,2,select_blank,exercise,2022,No person or group is above the ___.,law|Parliament|King,0,,,
2027,2,true_false,preview,2028,Freedom of conscience and religion is a fundamental freedom.,,true,,,
2028,2,multiple_choice,main,,Which fundamental freedom protects religious belief?,Religious freedom|Association freedom|Mobility rights,0,,,
2029,2,true_false,exercise,2028,Freedom of conscience and religion is centuries old.,,true,,,
2030,2,multiple_choice,exercise,2028,Freedom of conscience and religion is a:,Fundamental freedom|Mobility right|Language right,0,,,
2031,2,select_blank,exercise,2028,Canadians have freedom of conscience and ___.,religion|taxation|residence,0,,,
2032,2,true_false,exercise,2028,Freedom of religion was invented by the 1982 Charter.,,false,,,"It is part of an 800-year tradition the Charter summarizes, not a 1982 invention."
2033,2,true_false,preview,2034,Freedom of expression includes freedom of speech and press.,,true,,,
2034,2,multiple_choice,main,,"Freedom of thought, belief, opinion and expression includes:",Speech/press|Voting only|Jury duty,0,,,
2035,2,multi_select,exercise,2034,Which are covered by freedom of expression?,Speech|Press|Opinion|Jury duty,0|1|2,,,
2036,2,true_false,exercise,2034,Freedom of the press is part of freedom of expression.,,true,,,
2037,2,select_blank,exercise,2034,Freedom of ___ includes speech and the press.,expression|association|mobility,0,,,
2038,2,true_false,exercise,2034,Freedom of thought and belief is a fundamental freedom.,,true,,,
2039,2,true_false,preview,2040,Freedom of peaceful assembly lets Canadians gather peacefully.,,true,,,
2040,2,multiple_choice,main,,Freedom of peaceful assembly protects the right to:,Gather peacefully|Vote abroad|Jury service,0,,,
2041,2,true_false,exercise,2040,Freedom of peaceful assembly is a fundamental freedom.,,true,,,
2042,2,multiple_choice,exercise,2040,Peaceful assembly means Canadians can:,Meet/gather|Skip jury|Avoid taxes,0,,,
2043,2,select_blank,exercise,2040,Freedom of peaceful ___ is a fundamental freedom.,assembly|taxation|migration,0,,,
2044,2,true_false,preview,2045,Freedom of association lets Canadians join groups freely.,,true,,,
2045,2,multiple_choice,main,,Freedom of association protects the right to:,Join groups|Vote twice|Skip trials,0,,,
2046,2,true_false,exercise,2045,Freedom of association is a fundamental freedom.,,true,,,
2047,2,select_blank,exercise,2045,Freedom of ___ lets people form and join groups.,association|expression|mobility,0,,,
2048,2,multiple_choice,exercise,2045,Which is one of Canada's four fundamental freedoms?,Association|Free tuition|Free housing,0,,,
2049,2,true_false,preview,2050,Canada has four fundamental freedoms in its rights tradition.,,true,,,
2050,2,multi_select,main,,Which are among Canada's four fundamental freedoms?,Conscience/religion|Thought/expression|Peaceful assembly|Passport rights,0|1|2,,,
2051,2,match_pairs,exercise,2050,Match each fundamental freedom to what it protects.,Conscience and religion↔Personal belief and worship|Thought and expression↔Speech and the press|Peaceful assembly↔Gathering in groups|Association↔Joining organizations,,,,
2052,2,categorize,exercise,2050,Sort each item into its correct category.,Freedom of association↔Fundamental Freedom|Freedom of religion↔Fundamental Freedom|Mobility rights↔Charter Right|Official language rights↔Charter Right,,,,
2053,2,true_false,exercise,2050,Freedom of association is one of the four fundamental freedoms.,,true,,,
2054,2,true_false,preview,2055,Mobility rights let Canadians live anywhere in Canada.,,true,,,
2055,2,multi_select,main,,Which are part of Mobility Rights?,Live anywhere|Leave freely|Get passport|Vote anywhere,0|1|2,,,
2056,2,true_false,exercise,2055,Mobility rights include applying for a passport.,,true,,,
2057,2,select_blank,exercise,2055,Canadians can live and work ___ in Canada.,anywhere|nowhere|Ottawa only,0,,,
2058,2,true_false,exercise,2055,Mobility rights let Canadians enter and leave the country freely.,,true,,,
2059,2,multiple_choice,exercise,2055,Mobility Rights are found in the:,The Charter|Criminal Code|Immigration Act,0,,,
2060,2,true_false,exercise,2055,Mobility rights restrict Canadians to one province.,,false,,,
2061,2,image_choice,exercise,2055,Which icon best represents Mobility Rights?,Passport:document-outline|Handcuffs:lock-closed-outline|Ballot box:checkbox-outline,0,,,
2062,2,true_false,preview,2063,The Charter protects Aboriginal peoples' treaty rights.,,true,,,
2063,2,multiple_choice,main,,The Charter's guarantee for Aboriginal Peoples' Rights means it:,Keeps rights|Removes rights|Replaces treaties,0,,,
2064,2,true_false,exercise,2063,Aboriginal Peoples' Rights are named in the Charter.,,true,,,
2065,2,select_blank,exercise,2063,The Charter won't reduce Aboriginal treaty or other ___.,rights|taxes|borders,0,,,
2066,2,true_false,exercise,2063,The Charter cancels all Aboriginal treaty rights.,,false,,,
2067,2,multiple_choice,exercise,2063,Aboriginal Peoples' Rights protect:,Treaty rights|Passport rules|Jury duty,0,,,
2068,2,true_false,preview,2069,French and English have equal status in Parliament.,,true,,,
2069,2,multiple_choice,main,,Official Language Rights give equal status to:,French/English|French only|English only,0,,,
2070,2,true_false,exercise,2069,Official Language Rights apply throughout the Canadian government.,,true,,,
2071,2,select_blank,exercise,2069,Canada's two official languages are French and ___.,English|Spanish|Mandarin,0,,,
2072,2,multiple_choice,exercise,2069,Minority Language Educational Rights concern:,Minority schooling|Passport fees|Jury selection,0,,,
2073,2,true_false,exercise,2069,English and French have equal status only in Quebec.,,false,,,
2074,2,true_false,preview,2075,Multiculturalism is a fundamental part of Canadian identity.,,true,,,
2075,2,multiple_choice,main,,Multiculturalism in Canada means Canadians:,Celebrate diversity|Must assimilate|Ignore cultures,0,p08-5.jpeg,,
2076,2,true_false,exercise,2075,Canadians work hard to respect pluralism and live in harmony.,,true,,,
2077,2,select_blank,exercise,2075,Multiculturalism is a characteristic of Canadian heritage and ___.,identity|law|geography,0,,,
2078,2,multiple_choice,exercise,2075,The Charter lists multiculturalism as a:,Key right|Minor detail|Foreign concept,0,,,
2079,2,true_false,preview,2080,Canada has no compulsory military service.,,true,,,
2080,2,multi_select,main,,How can Canadians serve in Canada's defence?,Regular Forces|Reserves/militia|Cadets program|Mandatory draft,0|1|2,p09-1.jpeg,,
2081,2,true_false,exercise,2080,"Canadians can join the navy, army, or air force.",,true,,,
2082,2,select_blank,exercise,2080,Young people learn discipline and skills through ___.,cadets|customs|jury duty,0,,,
2083,2,multiple_choice,exercise,2080,"Besides the military, Canadians can serve their community as:",Police/firefighters|Foreign soldiers|Nothing else,0,,,
2084,2,true_false,exercise,2080,Canada requires all citizens to complete military service.,,false,,,
2085,2,true_false,exercise,2080,Members of the Canadian Forces greet each other in service.,,true,p09-2.jpeg,,
2086,2,media_card,exercise,2080,This uniform belongs to the Canadian:,Air Force|Coast Guard|Police,0,p09-3.jpeg,,
2087,2,true_false,preview,2088,Men and women are equal under Canadian law.,,true,,,
2088,2,multiple_choice,main,,Canadian law treats men and women as:,Fully equal|Unequal|Separate classes,0,,,
2089,2,true_false,exercise,2088,Canada's criminal laws punish spousal abuse severely.,,true,,,
2090,2,multi_select,exercise,2088,Which practices does Canadian law punish severely?,Forced marriage|Honour killings|Voting|Genital mutilation,0|1|3,,,
2091,2,select_blank,exercise,2088,Canada's openness does not extend to ___ cultural practices.,barbaric|diverse|modern,0,,,
2092,2,true_false,exercise,2088,Gender-based violence is tolerated under Canadian law.,,false,,,
2093,2,true_false,preview,2094,Obeying the law is a citizenship responsibility.,,true,,,
2094,2,multiple_choice,main,,Obeying the law means no person or group is:,Above law|Vote-exempt|Must serve,0,,,
2095,2,true_false,exercise,2094,"Individuals and governments are regulated by laws, not arbitrary actions.",,true,,,
2096,2,select_blank,exercise,2094,Obeying the law is a citizenship ___.,responsibility|hobby|privilege only,0,,,
2097,2,multiple_choice,exercise,2094,The rule of law is a founding principle of:,Canada|One province|No government,0,,,
2098,2,true_false,preview,2099,Taking care of your family is a citizenship responsibility.,,true,,,
2099,2,multiple_choice,main,,Taking responsibility for oneself and family includes:,Finding work|Avoiding work|Others' support,0,,,
2100,2,true_false,exercise,2099,Work contributes to personal dignity and self-respect.,,true,,,
2101,2,select_blank,exercise,2099,Working hard contributes to Canada's ___.,prosperity|isolation|debt,0,,,
2102,2,multiple_choice,exercise,2099,Self-reliance in Canada reflects important:,Canadian values|Foreign customs|Legal loopholes,0,,,
2103,2,true_false,preview,2104,Citizens must serve on a jury when called.,,true,,,
2104,2,multiple_choice,main,,Serving on a jury when called is:,Legally required|Optional|Lawyers only,0,,,
2105,2,true_false,exercise,2104,Impartial juries made up of citizens make justice work.,,true,,,
2106,2,select_blank,exercise,2104,Jury service is a ___ that supports justice.,privilege|punishment|business,0,,,
2107,2,multiple_choice,exercise,2104,Jury duty depends on citizens being:,Impartial|Wealthy|Lawyers,0,,,
2108,2,true_false,preview,2109,The right to vote comes with a responsibility.,,true,,,
2109,2,multiple_choice,main,,Citizens are responsible for voting in:,All levels|Federal only|No elections,0,,,
2110,2,true_false,exercise,2109,"Voting is a citizenship responsibility, not just a right.",,true,,,
2111,2,select_blank,exercise,2109,"Voting applies to federal, provincial, and ___ elections.",local|foreign|no,0,,,
2112,2,multiple_choice,exercise,2109,Which elections does the voting responsibility cover?,All levels|School only|Party only,0,,,
2113,2,true_false,preview,2114,Millions of Canadians volunteer to help others.,,true,,,
2114,2,multiple_choice,main,,Helping others in the community can include:,Food banks|Refusing help|Ignoring neighbours,0,p09-4.jpeg,,
2115,2,true_false,exercise,2114,Volunteering helps newcomers integrate into Canada.,,true,,,
2116,2,select_blank,exercise,2114,Volunteering helps you gain skills and develop ___.,friends/contacts|debt|paperwork,0,,,
2117,2,multiple_choice,exercise,2114,Assisting at your child's school is an example of:,Helping others|Jury duty|Mobility rights,0,,,
2118,2,true_false,preview,2119,Every citizen helps protect Canada's environment.,,true,,,
2119,2,multiple_choice,main,,Protecting heritage and environment means avoiding:,Waste/pollution|Voting|Jury duty,0,p09-6.jpeg,,
2120,2,true_false,exercise,2119,"Canadians should protect natural, cultural, and architectural heritage.",,true,,,
2121,2,select_blank,exercise,2119,Protecting heritage benefits ___ generations.,future|no|only past,0,,,
2122,2,multiple_choice,exercise,2119,This responsibility protects Canada's:,Natural heritage|Its borders|Its economy,0,,,
3001,3,select_blank,preview,3002,"Canada's founding peoples are Aboriginal, French, and ___.",British|Spanish|Dutch|Russian,0,,,
3002,3,multi_select,main,,Which are Canada's three founding peoples?,Aboriginal|French|British|Spanish,0|1|2,,,"Canada's identity rests on three founding peoples: Aboriginal, French, and British."
3003,3,true_false,exercise,3002,French people are one of Canada's founding peoples.,,true,,,
3004,3,true_false,exercise,3002,Spanish settlers are one of Canada's founding peoples.,,false,,,Spanish settlers are not one of Canada's three founding peoples.
3005,3,multiple_choice,exercise,3002,Which is NOT a founding people of Canada?,Aboriginal|French|British|Dutch,3,,,
3006,3,select_blank,exercise,3002,British is a founding people alongside Aboriginal and ___.,French|Dutch|Spanish|Russian,0,,,
3007,3,true_false,exercise,3002,Aboriginal peoples are one of Canada's founding peoples.,,true,,,
3016,3,select_blank,preview,3017,Canada is the ___ constitutional monarchy in North America.,only|second|newest|largest,0,,,
3017,3,multiple_choice,main,,What kind of monarchy is Canada in North America?,Only one|Several kinds|Newest one|Smallest one,0,,,Canada holds the oldest continuous constitutional tradition in the world and is the only constitutional monarchy in North America.
3018,3,select_blank,exercise,3017,"Canada's ___ document holds ""Peace, Order and Good Government.""",1867 constitutional|1980s trade|2008 apology|1763 treaty,0,,,"The phrase comes from the British North America Act of 1867, Canada's original constitutional document."
3019,3,true_false,exercise,3017,The British North America Act was signed in 1867.,,true,,,
3020,3,select_blank,exercise,3017,"Poets and songwriters called Canada the ""Great ___.""",Dominion|Republic|Empire|Kingdom,0,,,
3021,3,true_false,exercise,3017,Canada has the newest constitutional tradition in the world.,,false,,,Canada actually has the oldest continuous constitutional tradition in the world.
3022,3,select_blank,exercise,3017,Canadians built prosperity through hard work and fair ___.,play|luck|force|chance,0,,,
3031,3,true_false,preview,3032,Aboriginal peoples' ancestors migrated from Asia long ago.,,true,,,
3032,3,multiple_choice,main,,Where did Aboriginal peoples' ancestors migrate from?,Asia|Europe|Africa|Australia,0,p10-cree-dancer.jpeg,,"Their ancestors are believed to have migrated from Asia thousands of years ago, well before European explorers arrived."
3033,3,multiple_choice,exercise,3032,When did Aboriginal peoples arrive relative to Europeans?,Before Europeans|After Europeans|Same time|Unknown,0,,,They were well established here long before explorers from Europe first arrived.
3034,3,select_blank,exercise,3032,First Nations cultures were rooted in beliefs about ___.,Creator|stock market|railway|monarchy,0,,,
3035,3,select_blank,exercise,3032,First Nations beliefs centred on the ___ and nature.,Creator|government|economy|military,0,p10-bill-reid-totem-pole.jpeg,,
3036,3,true_false,exercise,3032,Diverse First Nations cultures existed before Europeans arrived.,,true,,,
3046,3,true_false,preview,3047,King George III issued the Royal Proclamation of 1763.,,true,,,
3047,3,multiple_choice,main,,Who issued the Royal Proclamation of 1763?,George III|Charles III|Queen Victoria|George V,0,,,The Royal Proclamation of 1763 first guaranteed Aboriginal territorial rights and became the basis for negotiating treaties with newcomers.
3048,3,select_blank,exercise,3047,The Royal Proclamation of 1763 guaranteed Aboriginal ___ rights.,territorial|voting|trading|banking,0,,,
3049,3,true_false,exercise,3047,Treaties negotiated after 1763 were always fully respected.,,false,,,The book notes these treaties were not always fully respected.
3050,3,true_false,exercise,3047,Aboriginal and treaty rights are in the Canadian Constitution.,,true,,,
3051,3,multiple_choice,exercise,3047,What did the Royal Proclamation establish the basis for?,Negotiating treaties|Building railways|Founding cities|Printing money,0,,,
3061,3,select_blank,preview,3062,Aboriginal children were once sent to residential ___.,schools|farms|factories|ships,0,,,
3062,3,multiple_choice,main,,From when to when did residential schools operate?,1800s-1980s|1600s-1700s|1900s-1920s|1950s-1960s,0,,,"The federal government placed many Aboriginal children in poorly funded residential schools meant to assimilate them, and formally apologized in 2008."
3063,3,select_blank,exercise,3062,"In residential schools, Aboriginal languages were mostly ___.",prohibited|taught|celebrated|recorded,0,,,
3064,3,true_false,exercise,3062,Ottawa formally apologized to residential school students in 2008.,,true,,,
3065,3,multiple_choice,exercise,3062,What was the goal of residential schools?,Assimilation|Trade skills|Farming|Exploration,0,,,
3066,3,true_false,exercise,3062,Residential schools were well funded and gentle.,,false,,,"They were poorly funded and inflicted hardship, including physical abuse."
3076,3,true_false,preview,3077,Aboriginal peoples today have made achievements in the arts.,,true,,,
3077,3,multi_select,main,,In what areas have Aboriginal peoples made achievements today?,Agriculture|The arts|Business|Space travel,0|1|2,p10-bill-reid-totem-pole.jpeg,,"Today's Aboriginal peoples enjoy renewed pride and confidence, with achievements in agriculture, the environment, business, and the arts."
3078,3,select_blank,exercise,3077,Aboriginal peoples today enjoy renewed pride and ___.,confidence|debt|conflict|silence,0,,,
3079,3,select_blank,exercise,3077,Aboriginal achievements today include the environment and ___.,business|space travel|mining laws|shipping,0,,,
3080,3,true_false,exercise,3077,Aboriginal peoples have made no modern achievements.,,false,,,"They have made significant achievements in agriculture, environment, business, and the arts."
3091,3,true_false,preview,3092,"""Aboriginal peoples"" refers to three distinct groups.",,true,,,
3092,3,match_pairs,main,,Match each Aboriginal group to its population share.,First Nations:About 65%|Métis:About 30%|Inuit:About 4%,,,,"The term Aboriginal peoples covers First Nations (about 65%), Métis (about 30%), and Inuit (about 4%)."
3093,3,true_false,exercise,3092,Inuit make up the largest share of Aboriginal peoples.,,false,,,"First Nations make up the largest share, at about 65%."
3094,3,multiple_choice,exercise,3092,Which group is about 30% of Aboriginal peoples?,Métis|Inuit|First Nations|Acadian,0,,,
3095,3,select_blank,exercise,3092,About 65% of Aboriginal people are ___ ___.,First Nations|Métis people|Inuit citizens|Quebec settlers,0,,,
3096,3,true_false,exercise,3092,"The three Aboriginal groups are First Nations, Inuit, and Métis.",,true,,,
3106,3,true_false,preview,3107,"The term ""First Nations"" began being used in the 1970s.",,true,,,
3107,3,multiple_choice,main,,"What does ""Indian"" exclude in this term?","Inuit, Métis|French settlers|British settlers|Nothing",0,,,Indian refers to all Aboriginal people who are not Inuit or Métis; the term First Nations came into use in the 1970s.
3108,3,select_blank,exercise,3107,About half of First Nations people live on ___.,reserve|rented|foreign|company,0,,,
3109,3,multiple_choice,exercise,3107,About how many First Nations reserve communities exist?,"About 600|About 60|About 6,000|About 6",0,,,
3110,3,multiple_choice,exercise,3107,Where do off-reserve First Nations people mainly live?,Urban centres|Farmland|Islands|Mountains,0,,,
3111,3,true_false,exercise,3107,All First Nations people live on reserve land.,,false,,,"About half live on reserve land, while the other half live off-reserve."
3121,3,true_false,preview,3122,"""Inuit"" means ""the people"" in Inuktitut.",,true,,,
3122,3,multiple_choice,main,,"What does the word ""Inuit"" mean?",The people|The hunters|The northerners|The elders,0,p10-inuit-children-iqaluit.jpeg,,"Inuit means ""the people"" in the Inuktitut language, and Inuit live in small scattered communities across the Arctic."
3123,3,select_blank,exercise,3122,Inuit live in small communities across the ___.,Arctic|Prairies|Maritimes|Rockies,0,,,
3124,3,true_false,exercise,3122,Inuit knowledge of land and sea aided Arctic survival.,,true,p10-inuit-children-iqaluit.jpeg,,
3125,3,multiple_choice,exercise,3122,"What language does the word ""Inuit"" come from?",Inuktitut|Michif|Gaelic|Cree,0,,,
3126,3,true_false,exercise,3122,Inuit communities are large and centrally located.,,false,,,"Inuit live in small, scattered communities across the Arctic."
3136,3,true_false,preview,3137,The Métis have mixed Aboriginal and European ancestry.,,true,,,
